job_title_short,salary_year_avg
Senior Data Scientist,155326.08926361386
Senior Data Engineer,149586.2658653846
Data Scientist,136314.8670983162
Data Engineer,129157.5571012677
Machine Learning Engineer,124426.10563380281
Cloud Engineer,119575.0
Senior Data Analyst,112280.84646498227
Software Engineer,98553.24193548386
Business Analyst,97140.96666666666
Data Analyst,92446.31490132956
